ID_R,TITLE,ID,TYPE,SECTIONNAME,SDATE
998,NameOfTitle11,1005,P,4,2002-02-07 00:00:00
521,NameOfTitle44,1004,O,1,2001-12-06 00:00:00
997,NameOfTitle12,1005,P,4,2002-02-07 00:00:00
122,NameOfTitle3,1003,P,4,2012-12-12 00:00:00
996,NameOfTitle13,1005,P,4,2002-02-07 00:00:00
996,NameOfTitle14,1005,P,4,2002-02-07 00:00:00
950,NameOfTitle21,1005,P,4,2002-02-07 00:00:00
125,NameOfTitle12,1004,O,2,2003-12-05 00:00:00
126,NameOfTitle13,1004,O,1,2009-12-04 00:00:00
128,NameOfTitle14,1004,O,4,2005-12-05 00:00:00
129,NameOfTitle15,1003,O,3,2003-12-03 00:00:00
130,NameOfTitle16,1003,P,2,2008-12-03 00:00:00
222,Title5,1004,O,2,2002-12-02 00:00:00
522,NameOfTitlr8,1008,O,3,2001-12-06 00:00:00
555,Title3,1008,O,3,2002-12-12 00:00:00
